Financial Benchmarks India Pvt Ltd,,,,
Reference Rates,,,,
Date,Time,Currency Pairs,Rate,Comments
01-Dec-25,1:00:00 PM,INR / 1 USD,89.7436,
01-Dec-25,1:00:00 PM,INR / 1 GBP,118.6285,
01-Dec-25,1:00:00 PM,INR / 1 EUR,104.0469,
01-Dec-25,1:00:00 PM,INR / 100 JPY,57.65,
28-Nov-25,1:00:00 PM,INR / 1 USD,89.4557,
28-Nov-25,1:00:00 PM,INR / 1 GBP,118.2694,
28-Nov-25,1:00:00 PM,INR / 1 EUR,103.6309,
28-Nov-25,1:00:00 PM,INR / 100 JPY,57.2,
27-Nov-25,1:00:00 PM,INR / 1 USD,89.2942,
27-Nov-25,1:00:00 PM,INR / 1 GBP,118.4166,
27-Nov-25,1:00:00 PM,INR / 1 EUR,103.6128,
27-Nov-25,1:00:00 PM,INR / 100 JPY,57.24,
26-Nov-25,1:00:00 PM,INR / 1 USD,89.2649,
26-Nov-25,1:00:00 PM,INR / 1 GBP,117.7755,
26-Nov-25,1:00:00 PM,INR / 1 EUR,103.4925,
26-Nov-25,1:00:00 PM,INR / 100 JPY,57.17,
25-Nov-25,1:00:00 PM,INR / 1 USD,89.2213,
25-Nov-25,1:00:00 PM,INR / 1 GBP,116.8966,
25-Nov-25,1:00:00 PM,INR / 1 EUR,102.7728,
25-Nov-25,1:00:00 PM,INR / 100 JPY,56.93,
24-Nov-25,1:00:00 PM,INR / 1 USD,89.1919,
24-Nov-25,1:00:00 PM,INR / 1 GBP,116.8997,
24-Nov-25,1:00:00 PM,INR / 1 EUR,102.7824,
24-Nov-25,1:00:00 PM,INR / 100 JPY,56.94,
21-Nov-25,1:00:00 PM,INR / 1 USD,88.6402,
21-Nov-25,1:00:00 PM,INR / 1 GBP,116.0791,
21-Nov-25,1:00:00 PM,INR / 1 EUR,102.3209,
21-Nov-25,1:00:00 PM,INR / 100 JPY,56.42,
20-Nov-25,1:00:00 PM,INR / 1 USD,88.6915,
20-Nov-25,1:00:00 PM,INR / 1 GBP,115.8376,
20-Nov-25,1:00:00 PM,INR / 1 EUR,102.1874,
20-Nov-25,1:00:00 PM,INR / 100 JPY,56.29,
19-Nov-25,1:00:00 PM,INR / 1 USD,88.4558,
19-Nov-25,1:00:00 PM,INR / 1 GBP,116.3152,
19-Nov-25,1:00:00 PM,INR / 1 EUR,102.5091,
19-Nov-25,1:00:00 PM,INR / 100 JPY,56.92,
18-Nov-25,1:00:00 PM,INR / 1 USD,88.6344,
18-Nov-25,1:00:00 PM,INR / 1 GBP,116.5844,
18-Nov-25,1:00:00 PM,INR / 1 EUR,102.7828,
18-Nov-25,1:00:00 PM,INR / 100 JPY,57.15,
17-Nov-25,1:00:00 PM,INR / 1 USD,88.63,
17-Nov-25,1:00:00 PM,INR / 1 GBP,116.445,
17-Nov-25,1:00:00 PM,INR / 1 EUR,102.7925,
17-Nov-25,1:00:00 PM,INR / 100 JPY,57.26,
14-Nov-25,1:00:00 PM,INR / 1 USD,88.742,
14-Nov-25,1:00:00 PM,INR / 1 GBP,116.7194,
14-Nov-25,1:00:00 PM,INR / 1 EUR,103.3188,
14-Nov-25,1:00:00 PM,INR / 100 JPY,57.44,
13-Nov-25,1:00:00 PM,INR / 1 USD,88.716,
13-Nov-25,1:00:00 PM,INR / 1 GBP,116.3924,
13-Nov-25,1:00:00 PM,INR / 1 EUR,102.7633,
13-Nov-25,1:00:00 PM,INR / 100 JPY,57.26,
12-Nov-25,1:00:00 PM,INR / 1 USD,88.6362,
12-Nov-25,1:00:00 PM,INR / 1 GBP,116.4544,
12-Nov-25,1:00:00 PM,INR / 1 EUR,102.6431,
12-Nov-25,1:00:00 PM,INR / 100 JPY,57.31,
11-Nov-25,1:00:00 PM,INR / 1 USD,88.6983,
11-Nov-25,1:00:00 PM,INR / 1 GBP,116.8044,
11-Nov-25,1:00:00 PM,INR / 1 EUR,102.5435,
11-Nov-25,1:00:00 PM,INR / 100 JPY,57.53,
10-Nov-25,1:00:00 PM,INR / 1 USD,88.6761,
10-Nov-25,1:00:00 PM,INR / 1 GBP,116.6558,
10-Nov-25,1:00:00 PM,INR / 1 EUR,102.5332,
10-Nov-25,1:00:00 PM,INR / 100 JPY,57.59,
07-Nov-25,1:00:00 PM,INR / 1 USD,88.705,
07-Nov-25,1:00:00 PM,INR / 1 GBP,116.3691,
07-Nov-25,1:00:00 PM,INR / 1 EUR,102.3041,
07-Nov-25,1:00:00 PM,INR / 100 JPY,57.81,
06-Nov-25,1:00:00 PM,INR / 1 USD,88.6026,
06-Nov-25,1:00:00 PM,INR / 1 GBP,115.751,
06-Nov-25,1:00:00 PM,INR / 1 EUR,101.981,
06-Nov-25,1:00:00 PM,INR / 100 JPY,57.58,
04-Nov-25,1:00:00 PM,INR / 1 USD,88.6372,
04-Nov-25,1:00:00 PM,INR / 1 GBP,116.3168,
04-Nov-25,1:00:00 PM,INR / 1 EUR,102.1384,
04-Nov-25,1:00:00 PM,INR / 100 JPY,57.72,
03-Nov-25,1:00:00 PM,INR / 1 USD,88.7932,
03-Nov-25,1:00:00 PM,INR / 1 GBP,116.6974,
03-Nov-25,1:00:00 PM,INR / 1 EUR,102.4348,
03-Nov-25,1:00:00 PM,INR / 100 JPY,57.59,
31-Oct-25,1:00:00 PM,INR / 1 USD,88.7241,
31-Oct-25,1:00:00 PM,INR / 1 GBP,116.6947,
31-Oct-25,1:00:00 PM,INR / 1 EUR,102.6745,
31-Oct-25,1:00:00 PM,INR / 100 JPY,57.61,
30-Oct-25,1:00:00 PM,INR / 1 USD,88.6048,
30-Oct-25,1:00:00 PM,INR / 1 GBP,116.9814,
30-Oct-25,1:00:00 PM,INR / 1 EUR,102.9753,
30-Oct-25,1:00:00 PM,INR / 100 JPY,57.76,
29-Oct-25,1:00:00 PM,INR / 1 USD,88.2834,
29-Oct-25,1:00:00 PM,INR / 1 GBP,116.8707,
29-Oct-25,1:00:00 PM,INR / 1 EUR,102.6771,
29-Oct-25,1:00:00 PM,INR / 100 JPY,57.99,
28-Oct-25,1:00:00 PM,INR / 1 USD,88.296,
28-Oct-25,1:00:00 PM,INR / 1 GBP,117.9623,
28-Oct-25,1:00:00 PM,INR / 1 EUR,102.9596,
28-Oct-25,1:00:00 PM,INR / 100 JPY,58.09,
27-Oct-25,1:00:00 PM,INR / 1 USD,88.0637,
27-Oct-25,1:00:00 PM,INR / 1 GBP,117.3936,
27-Oct-25,1:00:00 PM,INR / 1 EUR,102.4169,
27-Oct-25,1:00:00 PM,INR / 100 JPY,57.58,
24-Oct-25,1:00:00 PM,INR / 1 USD,87.7058,
24-Oct-25,1:00:00 PM,INR / 1 GBP,116.8498,
24-Oct-25,1:00:00 PM,INR / 1 EUR,101.789,
24-Oct-25,1:00:00 PM,INR / 100 JPY,57.33,
23-Oct-25,1:00:00 PM,INR / 1 USD,87.9474,
23-Oct-25,1:00:00 PM,INR / 1 GBP,117.3934,
23-Oct-25,1:00:00 PM,INR / 1 EUR,101.9797,
23-Oct-25,1:00:00 PM,INR / 100 JPY,57.65,
20-Oct-25,1:00:00 PM,INR / 1 USD,87.7861,
20-Oct-25,1:00:00 PM,INR / 1 GBP,117.8499,
20-Oct-25,1:00:00 PM,INR / 1 EUR,102.3972,
20-Oct-25,1:00:00 PM,INR / 100 JPY,58.3,
17-Oct-25,1:00:00 PM,INR / 1 USD,87.9097,
17-Oct-25,1:00:00 PM,INR / 1 GBP,118.2749,
17-Oct-25,1:00:00 PM,INR / 1 EUR,102.9827,
17-Oct-25,1:00:00 PM,INR / 100 JPY,58.66,
16-Oct-25,1:00:00 PM,INR / 1 USD,87.9039,
16-Oct-25,1:00:00 PM,INR / 1 GBP,117.8762,
16-Oct-25,1:00:00 PM,INR / 1 EUR,102.4614,
16-Oct-25,1:00:00 PM,INR / 100 JPY,58.12,
15-Oct-25,1:00:00 PM,INR / 1 USD,88.2898,
15-Oct-25,1:00:00 PM,INR / 1 GBP,117.9899,
15-Oct-25,1:00:00 PM,INR / 1 EUR,102.6616,
15-Oct-25,1:00:00 PM,INR / 100 JPY,58.45,
14-Oct-25,1:00:00 PM,INR / 1 USD,88.7907,
14-Oct-25,1:00:00 PM,INR / 1 GBP,118.0798,
14-Oct-25,1:00:00 PM,INR / 1 EUR,102.7971,
14-Oct-25,1:00:00 PM,INR / 100 JPY,58.5,
13-Oct-25,1:00:00 PM,INR / 1 USD,88.7797,
13-Oct-25,1:00:00 PM,INR / 1 GBP,118.6434,
13-Oct-25,1:00:00 PM,INR / 1 EUR,103.2135,
13-Oct-25,1:00:00 PM,INR / 100 JPY,58.48,
10-Oct-25,1:00:00 PM,INR / 1 USD,88.692,
10-Oct-25,1:00:00 PM,INR / 1 GBP,118.0136,
10-Oct-25,1:00:00 PM,INR / 1 EUR,102.6208,
10-Oct-25,1:00:00 PM,INR / 100 JPY,58.02,
09-Oct-25,1:00:00 PM,INR / 1 USD,88.7875,
09-Oct-25,1:00:00 PM,INR / 1 GBP,118.8871,
09-Oct-25,1:00:00 PM,INR / 1 EUR,103.2534,
09-Oct-25,1:00:00 PM,INR / 100 JPY,58.06,
08-Oct-25,1:00:00 PM,INR / 1 USD,88.7903,
08-Oct-25,1:00:00 PM,INR / 1 GBP,118.876,
08-Oct-25,1:00:00 PM,INR / 1 EUR,103.082,
08-Oct-25,1:00:00 PM,INR / 100 JPY,58.24,
07-Oct-25,1:00:00 PM,INR / 1 USD,88.7319,
07-Oct-25,1:00:00 PM,INR / 1 GBP,119.3752,
07-Oct-25,1:00:00 PM,INR / 1 EUR,103.7063,
07-Oct-25,1:00:00 PM,INR / 100 JPY,58.9,
06-Oct-25,1:00:00 PM,INR / 1 USD,88.7859,
06-Oct-25,1:00:00 PM,INR / 1 GBP,119.3259,
06-Oct-25,1:00:00 PM,INR / 1 EUR,103.986,
06-Oct-25,1:00:00 PM,INR / 100 JPY,59.09,
03-Oct-25,1:00:00 PM,INR / 1 USD,88.7775,
03-Oct-25,1:00:00 PM,INR / 1 GBP,119.3211,
