Financial Benchmarks India Pvt Ltd,,,,
Reference Rates,,,,
Date,Time,Currency Pairs,Rate,Comments
03-Oct-25,1:00:00 PM,INR / 1 EUR,104.0804,
03-Oct-25,1:00:00 PM,INR / 100 JPY,60.16,
01-Oct-25,1:00:00 PM,INR / 1 USD,88.6778,
01-Oct-25,1:00:00 PM,INR / 1 GBP,119.4851,
01-Oct-25,1:00:00 PM,INR / 1 EUR,104.3649,
01-Oct-25,1:00:00 PM,INR / 100 JPY,60.23,
30-Sep-25,1:00:00 PM,INR / 1 USD,88.7923,
30-Sep-25,1:00:00 PM,INR / 1 GBP,119.354,
30-Sep-25,1:00:00 PM,INR / 1 EUR,104.222,
30-Sep-25,1:00:00 PM,INR / 100 JPY,59.91,
29-Sep-25,1:00:00 PM,INR / 1 USD,88.7558,
29-Sep-25,1:00:00 PM,INR / 1 GBP,119.2777,
29-Sep-25,1:00:00 PM,INR / 1 EUR,104.0455,
29-Sep-25,1:00:00 PM,INR / 100 JPY,59.64,
26-Sep-25,1:00:00 PM,INR / 1 USD,88.7234,
26-Sep-25,1:00:00 PM,INR / 1 GBP,118.496,
26-Sep-25,1:00:00 PM,INR / 1 EUR,103.6183,
26-Sep-25,1:00:00 PM,INR / 100 JPY,59.24,
25-Sep-25,1:00:00 PM,INR / 1 USD,88.6696,
25-Sep-25,1:00:00 PM,INR / 1 GBP,119.3162,
25-Sep-25,1:00:00 PM,INR / 1 EUR,104.1685,
25-Sep-25,1:00:00 PM,INR / 100 JPY,59.58,
24-Sep-25,1:00:00 PM,INR / 1 USD,88.7606,
24-Sep-25,1:00:00 PM,INR / 1 GBP,119.8014,
24-Sep-25,1:00:00 PM,INR / 1 EUR,104.6541,
24-Sep-25,1:00:00 PM,INR / 100 JPY,59.95,
23-Sep-25,1:00:00 PM,INR / 1 USD,88.7435,
23-Sep-25,1:00:00 PM,INR / 1 GBP,119.8558,
23-Sep-25,1:00:00 PM,INR / 1 EUR,104.6605,
23-Sep-25,1:00:00 PM,INR / 100 JPY,60.05,
22-Sep-25,1:00:00 PM,INR / 1 USD,88.1447,
22-Sep-25,1:00:00 PM,INR / 1 GBP,118.802,
22-Sep-25,1:00:00 PM,INR / 1 EUR,103.4901,
22-Sep-25,1:00:00 PM,INR / 100 JPY,59.5,
19-Sep-25,1:00:00 PM,INR / 1 USD,88.3055,
19-Sep-25,1:00:00 PM,INR / 1 GBP,119.2519,
19-Sep-25,1:00:00 PM,INR / 1 EUR,103.932,
19-Sep-25,1:00:00 PM,INR / 100 JPY,59.78,
18-Sep-25,1:00:00 PM,INR / 1 USD,88.1209,
18-Sep-25,1:00:00 PM,INR / 1 GBP,119.8344,
18-Sep-25,1:00:00 PM,INR / 1 EUR,103.9263,
18-Sep-25,1:00:00 PM,INR / 100 JPY,59.77,
17-Sep-25,1:00:00 PM,INR / 1 USD,87.752,
17-Sep-25,1:00:00 PM,INR / 1 GBP,119.706,
17-Sep-25,1:00:00 PM,INR / 1 EUR,104.0277,
17-Sep-25,1:00:00 PM,INR / 100 JPY,59.9,
16-Sep-25,1:00:00 PM,INR / 1 USD,88.0461,
16-Sep-25,1:00:00 PM,INR / 1 GBP,119.9787,
16-Sep-25,1:00:00 PM,INR / 1 EUR,103.7629,
16-Sep-25,1:00:00 PM,INR / 100 JPY,59.94,
15-Sep-25,1:00:00 PM,INR / 1 USD,88.269,
15-Sep-25,1:00:00 PM,INR / 1 GBP,119.6822,
15-Sep-25,1:00:00 PM,INR / 1 EUR,103.4601,
15-Sep-25,1:00:00 PM,INR / 100 JPY,59.82,
12-Sep-25,1:00:00 PM,INR / 1 USD,88.2806,
12-Sep-25,1:00:00 PM,INR / 1 GBP,119.6555,
12-Sep-25,1:00:00 PM,INR / 1 EUR,103.5961,
12-Sep-25,1:00:00 PM,INR / 100 JPY,59.87,
11-Sep-25,1:00:00 PM,INR / 1 USD,88.2649,
11-Sep-25,1:00:00 PM,INR / 1 GBP,119.3253,
11-Sep-25,1:00:00 PM,INR / 1 EUR,103.1946,
11-Sep-25,1:00:00 PM,INR / 100 JPY,59.76,
10-Sep-25,1:00:00 PM,INR / 1 USD,88.1252,
10-Sep-25,1:00:00 PM,INR / 1 GBP,119.2481,
10-Sep-25,1:00:00 PM,INR / 1 EUR,103.1952,
10-Sep-25,1:00:00 PM,INR / 100 JPY,59.75,
09-Sep-25,1:00:00 PM,INR / 1 USD,88.1409,
09-Sep-25,1:00:00 PM,INR / 1 GBP,119.6425,
09-Sep-25,1:00:00 PM,INR / 1 EUR,103.7683,
09-Sep-25,1:00:00 PM,INR / 100 JPY,59.96,
05-Sep-25,1:00:00 PM,INR / 1 USD,88.3242,
05-Sep-25,1:00:00 PM,INR / 1 GBP,118.9185,
05-Sep-25,1:00:00 PM,INR / 1 EUR,103.0849,
05-Sep-25,1:00:00 PM,INR / 100 JPY,59.59,
04-Sep-25,1:00:00 PM,INR / 1 USD,88.1641,
04-Sep-25,1:00:00 PM,INR / 1 GBP,118.4344,
04-Sep-25,1:00:00 PM,INR / 1 EUR,102.7541,
04-Sep-25,1:00:00 PM,INR / 100 JPY,59.49,
03-Sep-25,1:00:00 PM,INR / 1 USD,88.107,
03-Sep-25,1:00:00 PM,INR / 1 GBP,117.7826,
03-Sep-25,1:00:00 PM,INR / 1 EUR,102.4814,
03-Sep-25,1:00:00 PM,INR / 100 JPY,59.28,
02-Sep-25,1:00:00 PM,INR / 1 USD,88.0265,
02-Sep-25,1:00:00 PM,INR / 1 GBP,119.0822,
02-Sep-25,1:00:00 PM,INR / 1 EUR,103.0162,
02-Sep-25,1:00:00 PM,INR / 100 JPY,59.48,
01-Sep-25,1:00:00 PM,INR / 1 USD,88.2576,
01-Sep-25,1:00:00 PM,INR / 1 GBP,119.3784,
01-Sep-25,1:00:00 PM,INR / 1 EUR,103.4579,
01-Sep-25,1:00:00 PM,INR / 100 JPY,60.08,
29-Aug-25,1:00:00 PM,INR / 1 USD,87.8514,
29-Aug-25,1:00:00 PM,INR / 1 GBP,118.576,
29-Aug-25,1:00:00 PM,INR / 1 EUR,102.4728,
29-Aug-25,1:00:00 PM,INR / 100 JPY,59.76,
28-Aug-25,1:00:00 PM,INR / 1 USD,87.6559,
28-Aug-25,1:00:00 PM,INR / 1 GBP,118.3822,
28-Aug-25,1:00:00 PM,INR / 1 EUR,102.0087,
28-Aug-25,1:00:00 PM,INR / 100 JPY,59.53,
26-Aug-25,1:00:00 PM,INR / 1 USD,87.7414,
26-Aug-25,1:00:00 PM,INR / 1 GBP,118.1081,
26-Aug-25,1:00:00 PM,INR / 1 EUR,102.0351,
26-Aug-25,1:00:00 PM,INR / 100 JPY,59.42,
25-Aug-25,1:00:00 PM,INR / 1 USD,87.4174,
25-Aug-25,1:00:00 PM,INR / 1 GBP,118.2233,
25-Aug-25,1:00:00 PM,INR / 1 EUR,102.4334,
25-Aug-25,1:00:00 PM,INR / 100 JPY,59.39,
22-Aug-25,1:00:00 PM,INR / 1 USD,87.4375,
22-Aug-25,1:00:00 PM,INR / 1 GBP,117.1313,
22-Aug-25,1:00:00 PM,INR / 1 EUR,101.3389,
22-Aug-25,1:00:00 PM,INR / 100 JPY,58.84,
21-Aug-25,1:00:00 PM,INR / 1 USD,86.9741,
21-Aug-25,1:00:00 PM,INR / 1 GBP,116.9616,
21-Aug-25,1:00:00 PM,INR / 1 EUR,101.1967,
21-Aug-25,1:00:00 PM,INR / 100 JPY,58.97,
20-Aug-25,1:00:00 PM,INR / 1 USD,87.0919,
20-Aug-25,1:00:00 PM,INR / 1 GBP,117.5305,
20-Aug-25,1:00:00 PM,INR / 1 EUR,101.339,
20-Aug-25,1:00:00 PM,INR / 100 JPY,59.11,
19-Aug-25,1:00:00 PM,INR / 1 USD,87.1756,
19-Aug-25,1:00:00 PM,INR / 1 GBP,117.6801,
19-Aug-25,1:00:00 PM,INR / 1 EUR,101.6177,
19-Aug-25,1:00:00 PM,INR / 100 JPY,59.04,
18-Aug-25,1:00:00 PM,INR / 1 USD,87.4137,
18-Aug-25,1:00:00 PM,INR / 1 GBP,118.4106,
18-Aug-25,1:00:00 PM,INR / 1 EUR,102.2653,
18-Aug-25,1:00:00 PM,INR / 100 JPY,59.29,
14-Aug-25,1:00:00 PM,INR / 1 USD,87.4852,
14-Aug-25,1:00:00 PM,INR / 1 GBP,118.8195,
14-Aug-25,1:00:00 PM,INR / 1 EUR,102.3775,
14-Aug-25,1:00:00 PM,INR / 100 JPY,59.81,
13-Aug-25,1:00:00 PM,INR / 1 USD,87.6956,
13-Aug-25,1:00:00 PM,INR / 1 GBP,118.4849,
13-Aug-25,1:00:00 PM,INR / 1 EUR,102.4822,
13-Aug-25,1:00:00 PM,INR / 100 JPY,59.33,
12-Aug-25,1:00:00 PM,INR / 1 USD,87.6726,
12-Aug-25,1:00:00 PM,INR / 1 GBP,117.7928,
12-Aug-25,1:00:00 PM,INR / 1 EUR,101.8066,
12-Aug-25,1:00:00 PM,INR / 100 JPY,59.13,
11-Aug-25,1:00:00 PM,INR / 1 USD,87.5776,
11-Aug-25,1:00:00 PM,INR / 1 GBP,117.9612,
11-Aug-25,1:00:00 PM,INR / 1 EUR,102.1715,
11-Aug-25,1:00:00 PM,INR / 100 JPY,59.35,
08-Aug-25,1:00:00 PM,INR / 1 USD,87.6196,
08-Aug-25,1:00:00 PM,INR / 1 GBP,117.6649,
08-Aug-25,1:00:00 PM,INR / 1 EUR,102.0488,
08-Aug-25,1:00:00 PM,INR / 100 JPY,59.48,
07-Aug-25,1:00:00 PM,INR / 1 USD,87.6945,
07-Aug-25,1:00:00 PM,INR / 1 GBP,117.2668,
07-Aug-25,1:00:00 PM,INR / 1 EUR,102.3763,
07-Aug-25,1:00:00 PM,INR / 100 JPY,59.59,
06-Aug-25,1:00:00 PM,INR / 1 USD,87.7,
06-Aug-25,1:00:00 PM,INR / 1 GBP,116.6948,
06-Aug-25,1:00:00 PM,INR / 1 EUR,101.6022,
06-Aug-25,1:00:00 PM,INR / 100 JPY,59.47,
05-Aug-25,1:00:00 PM,INR / 1 USD,87.7917,
05-Aug-25,1:00:00 PM,INR / 1 GBP,116.6202,
05-Aug-25,1:00:00 PM,INR / 1 EUR,101.4246,
05-Aug-25,1:00:00 PM,INR / 100 JPY,59.68,
04-Aug-25,1:00:00 PM,INR / 1 USD,87.5018,
04-Aug-25,1:00:00 PM,INR / 1 GBP,116.2415,
04-Aug-25,1:00:00 PM,INR / 1 EUR,101.2734,
04-Aug-25,1:00:00 PM,INR / 100 JPY,59.29,
01-Aug-25,1:00:00 PM,INR / 1 USD,87.3519,
01-Aug-25,1:00:00 PM,INR / 1 GBP,115.3394,
01-Aug-25,1:00:00 PM,INR / 1 EUR,99.8828,
01-Aug-25,1:00:00 PM,INR / 100 JPY,58.04,
31-Jul-25,1:00:00 PM,INR / 1 USD,87.5544,
31-Jul-25,1:00:00 PM,INR / 1 GBP,116.2366,
31-Jul-25,1:00:00 PM,INR / 1 EUR,100.2486,
31-Jul-25,1:00:00 PM,INR / 100 JPY,58.85,
30-Jul-25,1:00:00 PM,INR / 1 USD,87.2713,
30-Jul-25,1:00:00 PM,INR / 1 GBP,116.5305,
30-Jul-25,1:00:00 PM,INR / 1 EUR,100.7978,
30-Jul-25,1:00:00 PM,INR / 100 JPY,58.95,
29-Jul-25,1:00:00 PM,INR / 1 USD,86.8417,
29-Jul-25,1:00:00 PM,INR / 1 GBP,115.7843,
29-Jul-25,1:00:00 PM,INR / 1 EUR,100.3624,
29-Jul-25,1:00:00 PM,INR / 100 JPY,58.52,
28-Jul-25,1:00:00 PM,INR / 1 USD,86.551,
28-Jul-25,1:00:00 PM,INR / 1 GBP,116.0718,
28-Jul-25,1:00:00 PM,INR / 1 EUR,101.4083,
28-Jul-25,1:00:00 PM,INR / 100 JPY,58.42,
25-Jul-25,1:00:00 PM,INR / 1 USD,86.5247,
25-Jul-25,1:00:00 PM,INR / 1 GBP,116.7939,
25-Jul-25,1:00:00 PM,INR / 1 EUR,101.734,
25-Jul-25,1:00:00 PM,INR / 100 JPY,58.87,
24-Jul-25,1:00:00 PM,INR / 1 USD,86.3301,
24-Jul-25,1:00:00 PM,INR / 1 GBP,117.1275,
24-Jul-25,1:00:00 PM,INR / 1 EUR,101.5582,
24-Jul-25,1:00:00 PM,INR / 100 JPY,59.02,
23-Jul-25,1:00:00 PM,INR / 1 USD,86.3676,
23-Jul-25,1:00:00 PM,INR / 1 GBP,116.8392,
23-Jul-25,1:00:00 PM,INR / 1 EUR,101.3576,
23-Jul-25,1:00:00 PM,INR / 100 JPY,58.77,
22-Jul-25,1:00:00 PM,INR / 1 USD,86.2581,
22-Jul-25,1:00:00 PM,INR / 1 GBP,116.1977,
22-Jul-25,1:00:00 PM,INR / 1 EUR,100.8162,
22-Jul-25,1:00:00 PM,INR / 100 JPY,58.36,
21-Jul-25,1:00:00 PM,INR / 1 USD,86.2248,
21-Jul-25,1:00:00 PM,INR / 1 GBP,115.8148,
21-Jul-25,1:00:00 PM,INR / 1 EUR,100.3249,
21-Jul-25,1:00:00 PM,INR / 100 JPY,58.26,
18-Jul-25,1:00:00 PM,INR / 1 USD,86.2007,
18-Jul-25,1:00:00 PM,INR / 1 GBP,115.7302,
18-Jul-25,1:00:00 PM,INR / 1 EUR,100.1566,
18-Jul-25,1:00:00 PM,INR / 100 JPY,57.93,
17-Jul-25,1:00:00 PM,INR / 1 USD,85.9149,
17-Jul-25,1:00:00 PM,INR / 1 GBP,114.9891,
17-Jul-25,1:00:00 PM,INR / 1 EUR,99.5588,
17-Jul-25,1:00:00 PM,INR / 100 JPY,57.77,
16-Jul-25,1:00:00 PM,INR / 1 USD,85.8051,
16-Jul-25,1:00:00 PM,INR / 1 GBP,115.0521,
16-Jul-25,1:00:00 PM,INR / 1 EUR,99.7307,
16-Jul-25,1:00:00 PM,INR / 100 JPY,57.7,
15-Jul-25,1:00:00 PM,INR / 1 USD,85.8262,
15-Jul-25,1:00:00 PM,INR / 1 GBP,115.3458,
15-Jul-25,1:00:00 PM,INR / 1 EUR,100.2662,
15-Jul-25,1:00:00 PM,INR / 100 JPY,58.11,
14-Jul-25,1:00:00 PM,INR / 1 USD,85.991,
14-Jul-25,1:00:00 PM,INR / 1 GBP,115.7009,
14-Jul-25,1:00:00 PM,INR / 1 EUR,100.2752,
14-Jul-25,1:00:00 PM,INR / 100 JPY,58.38,
11-Jul-25,1:00:00 PM,INR / 1 USD,85.8536,
11-Jul-25,1:00:00 PM,INR / 1 GBP,116.2853,
11-Jul-25,1:00:00 PM,INR / 1 EUR,100.285,
11-Jul-25,1:00:00 PM,INR / 100 JPY,58.45,
10-Jul-25,1:00:00 PM,INR / 1 USD,85.578,
10-Jul-25,1:00:00 PM,INR / 1 GBP,116.5025,
10-Jul-25,1:00:00 PM,INR / 1 EUR,100.4709,
10-Jul-25,1:00:00 PM,INR / 100 JPY,58.52,
09-Jul-25,1:00:00 PM,INR / 1 USD,85.7979,
09-Jul-25,1:00:00 PM,INR / 1 GBP,116.5765,
09-Jul-25,1:00:00 PM,INR / 1 EUR,100.5277,
09-Jul-25,1:00:00 PM,INR / 100 JPY,58.38,
08-Jul-25,1:00:00 PM,INR / 1 USD,85.7188,
08-Jul-25,1:00:00 PM,INR / 1 GBP,116.817,
08-Jul-25,1:00:00 PM,INR / 1 EUR,100.6064,
08-Jul-25,1:00:00 PM,INR / 100 JPY,58.65,
07-Jul-25,1:00:00 PM,INR / 1 USD,85.815,
07-Jul-25,1:00:00 PM,INR / 1 GBP,116.7622,
07-Jul-25,1:00:00 PM,INR / 1 EUR,100.8629,
07-Jul-25,1:00:00 PM,INR / 100 JPY,59.15,
04-Jul-25,1:00:00 PM,INR / 1 USD,85.3886,
04-Jul-25,1:00:00 PM,INR / 1 GBP,116.7769,
04-Jul-25,1:00:00 PM,INR / 1 EUR,100.5974,
04-Jul-25,1:00:00 PM,INR / 100 JPY,59.18,
03-Jul-25,1:00:00 PM,INR / 1 USD,85.5121,
03-Jul-25,1:00:00 PM,INR / 1 GBP,116.659,
03-Jul-25,1:00:00 PM,INR / 1 EUR,100.8866,
03-Jul-25,1:00:00 PM,INR / 100 JPY,59.44,
02-Jul-25,1:00:00 PM,INR / 1 USD,85.6928,
02-Jul-25,1:00:00 PM,INR / 1 GBP,117.731,
02-Jul-25,1:00:00 PM,INR / 1 EUR,101.041,
02-Jul-25,1:00:00 PM,INR / 100 JPY,59.61,
01-Jul-25,1:00:00 PM,INR / 1 USD,85.6179,
01-Jul-25,1:00:00 PM,INR / 1 GBP,117.6476,
01-Jul-25,1:00:00 PM,INR / 1 EUR,100.8476,
01-Jul-25,1:00:00 PM,INR / 100 JPY,59.58,
30-Jun-25,1:00:00 PM,INR / 1 USD,85.5439,
30-Jun-25,1:00:00 PM,INR / 1 GBP,117.4683,
30-Jun-25,1:00:00 PM,INR / 1 EUR,100.4451,
30-Jun-25,1:00:00 PM,INR / 100 JPY,59.43,
27-Jun-25,1:00:00 PM,INR / 1 USD,85.5594,
27-Jun-25,1:00:00 PM,INR / 1 GBP,117.5529,
27-Jun-25,1:00:00 PM,INR / 1 EUR,100.1992,
27-Jun-25,1:00:00 PM,INR / 100 JPY,59.3,
26-Jun-25,1:00:00 PM,INR / 1 USD,85.7528,
26-Jun-25,1:00:00 PM,INR / 1 GBP,117.5076,
26-Jun-25,1:00:00 PM,INR / 1 EUR,100.1353,
26-Jun-25,1:00:00 PM,INR / 100 JPY,59.33,
25-Jun-25,1:00:00 PM,INR / 1 USD,85.8732,
25-Jun-25,1:00:00 PM,INR / 1 GBP,117.0102,
25-Jun-25,1:00:00 PM,INR / 1 EUR,99.7646,
25-Jun-25,1:00:00 PM,INR / 100 JPY,59.16,
